"V1","V2","V3","V4","V5"
"","(1)","(2)","(3)","(4)"
"","lasso-lasso","lasso-ridge","ridge-lasso","ridge- ridge"
"Log civilian casualties","0.14","0.14","0.13","0.11"
"","(0.04)","(0.04)","(0.04)","(0.03)"
"","[0]","[0]","[0]","[0]"
"Log military mentions","0.26","0.18","0.24","0.14"
"","(0.05)","(0.06)","(0.05)","(0.02)"
"","[0.0]","[0.0]","[0.0]","[0.02]"
